Date,TMax,TMin,TMoy,HMax,HMin,HMoy,Vt,Ins,Rg,ETO
1/1/1965,36.09999999,19.9,27.99999999,91,11,51,1.4,9,,4.670573691
1/2/1965,33.90000001,19.4,26.65,92,26,59,1.68,7.699999999,,4.34017333
1/3/1965,32.40000001,20.4,26.4,97,31,64,1.4,6.6,,3.857048891
1/4/1965,33,19,26,91,30,60.5,1.61,8.399999999,,4.32016927
1/5/1965,33,19.9,26.45,90,34,62,1.82,7.4,,4.277855391
1/6/1965,32.59999999,21.3,26.95,79,34,56.5,1.19,6.6,,3.92475932
1/7/1965,35.2,20.1,27.65,91,21,56,1.82,8.100000001,,4.70633965
1/8/1965,32.3,22,27.15,90,38,64,2.31,6.699999999,,4.425169101
1/9/1965,32.59999999,20.8,26.7,97,36,66.5,1.47,8.199999999,,4.191986261
1/10/1965,33.59999999,21.5,27.55,90,35,62.5,1.33,7.5,,4.160597639
1/11/1965,35.40000001,20.6,28.00000001,96,19,57.5,1.68,8.300000001,,4.676902499
1/12/1965,34.59999999,21.2,27.9,93,27,60,1.4,9.5,,4.670838619
1/13/1965,33,21.2,27.1,93,40,66.5,2.03,7.6,,4.39376572
1/14/1965,33.3,21.7,27.5,91,35,63,1.47,8.699999999,,4.475327389
1/15/1965,32.3,21,26.65,79,26,52.5,1.4,9.600000001,,4.676050099
1/16/1965,33.5,18.6,26.05,41,16,28.5,1.82,10,,5.45507546
1/17/1965,33.59999999,18.4,25.99999999,40,14,27,2.1,10,,5.804272821
1/18/1965,35.40000001,18.1,26.75000001,44,15,29.5,2.52,9.699999999,,6.271330239
1/19/1965,33.7,19.6,26.65,73,26,49.5,1.33,9.399999999,,4.6630808
1/20/1965,33.5,18.7,26.1,43,17,30,1.4,8.699999999,,4.817490509
1/21/1965,34.90000001,19,26.95,41,16,28.5,1.47,9.199999999,,5.08159381
1/22/1965,34,20.3,27.15,78,17,47.5,1.61,3.5,,4.0299489
1/23/1965,34.40000001,20,27.2,63,17,40,0.77,8.600000001,,4.14714798
1/24/1965,34.40000001,20.5,27.45,89,19,54,1.68,8.699999999,,4.86266597
1/25/1965,35,21.6,28.3,91,21,56,1.47,8.600000001,,4.768911989
1/26/1965,34.8,22,28.4,89,22,55.5,1.4,8.600000001,,4.74955781
1/27/1965,36,20,28,93,16,54.5,1.61,9.100000001,,4.97186576
1/28/1965,34.40000001,20.7,27.55,91,24,57.5,1.61,8.5,,4.754290219
1/29/1965,35.7,19.7,27.7,85,13,49,1.82,9.800000001,,5.350123039
1/30/1965,35.3,20,27.65,87,24,55.5,1.12,9,,4.58435134
1/31/1965,34.7,21,27.85,87,22,54.5,1.61,9.399999999,,5.05119911
2/1/1965,35.3,19,27.15,73,15,44,1.82,9.899999999,,5.43705493
2/2/1965,33.59999999,21.3,27.45,35,16,25.5,1.89,8.399999999,,5.723729899
2/3/1965,33.59999999,20.5,27.05,42,16,29,1.12,7.4,,4.52221467
2/4/1965,35.40000001,20,27.7,37,12,24.5,1.61,9.699999999,,5.59937118
2/5/1965,35.2,19,27.1,80,18,49,0.91,10,,4.65747603
2/6/1965,35.5,20.4,27.95,91,23,57,1.47,10,,5.111491131
2/7/1965,35.2,21.5,28.35,89,23,56,1.4,9.800000001,,5.103369979
2/8/1965,35,22,28.5,88,33,60.5,1.47,9.199999999,,4.98361893
2/9/1965,34.8,22.1,28.45,89,38,63.5,2.17,9,,5.2363717
2/10/1965,34,23.8,28.9,83,42,62.5,2.38,5.800000001,,4.7934862
2/11/1965,30.4,19.1,24.75,96,55,75.5,2.17,5.4,,3.67717363
2/12/1965,33.09999999,20,26.55,95,39,67,1.33,10.1,,4.803424768
2/13/1965,32.8,22,27.4,91,35,63,1.47,9,,4.819465
2/14/1965,33.8,21,27.4,91,21,56,1.82,9.699999999,,5.313445581
2/15/1965,35,20.7,27.85,78,12,45,0.98,10.6,,5.051159689
2/16/1965,34.40000001,19.4,26.9,90,20,55,1.12,9.100000001,,4.720640009
2/17/1965,33.5,21.4,27.45,91,32,61.5,1.89,7.9,,4.89138351
2/18/1965,34.7,22.1,28.4,90,32,61,1.82,10.1,,5.45874116
