"YEAR","MM","DD","T2M_MAX","T2M_MIN","PRECTOTCORR"
1981,1,3,29.73,11.55,0
1981,1,4,30.26,12.01,0
1981,1,5,30.83,13.02,0
1981,1,6,30.3,13.36,0
1981,1,7,30.71,12.96,0
1981,1,8,31.57,12.94,0
1981,1,9,31.37,12.51,0
1981,1,10,31.74,11.96,0
1981,1,11,32.27,13.12,0
1981,1,12,33.06,15.25,0
1981,1,13,33.64,18.27,0
1981,1,14,32.99,18.08,0
1981,1,15,32.86,16.49,0
1981,1,16,32.51,14.76,0
1981,1,17,32.15,13.97,0
1981,1,18,32.38,13.08,0
1981,1,19,33.08,14.15,0
1981,1,20,33.51,13.8,0
1981,1,21,34.03,13.99,0
1981,1,22,33.47,14.45,0
1981,1,23,32.9,12.87,0
1981,1,24,32.26,13.8,0
1981,1,25,30.36,13.21,0
1981,1,26,32.94,13.49,0
1981,1,27,32.98,14.8,0
1981,1,28,33.23,16.8,0
1981,1,29,33.26,15.42,0
1981,1,30,33.48,14.14,0
1981,1,31,34.32,14.47,0
1981,2,1,34.8,15.3,0
1981,2,2,34.67,16.01,0
1981,2,3,34.9,16.68,0
1981,2,4,34.18,17.05,0
1981,2,5,35.08,17.72,0
1981,2,6,36.62,19.85,0.02
1981,2,7,37.22,18.49,0
1981,2,8,36.58,18.51,0
1981,2,9,36.02,17.19,0
1981,2,10,35.2,17.17,0
1981,2,11,34.95,16.13,0
1981,2,12,35.39,16.6,0
1981,2,13,34.44,21.69,1.55
1981,2,14,34.62,21.16,0.14
1981,2,15,36.62,24.46,0.55
1981,2,16,38.18,25.2,0.64
1981,2,17,37.53,21.25,0.01
1981,2,18,36.67,19.93,0
1981,2,19,36.26,18.05,0
1981,2,20,37.09,17.98,0
1981,2,21,37.91,20.01,0
1981,2,22,37.26,18.05,0
1981,2,23,37.13,16.96,0
1981,2,24,37.23,16.32,0
1981,2,25,38.15,17.76,0
1981,2,26,38.46,18.86,0
1981,2,27,38.37,18.68,0
1981,2,28,37.8,19.3,0
1981,3,1,35.4,21.37,0
1981,3,2,39.36,21.08,0.18
1981,3,3,39.98,23.5,0.36
1981,3,4,39.05,26.29,0.25
1981,3,5,33.67,26.03,0.27
1981,3,6,35.75,24.55,0.39
1981,3,7,38.71,24.51,0.14
1981,3,8,37.37,24.65,0.01
1981,3,9,37.34,21.97,0.05
1981,3,10,38.59,22.75,0.01
1981,3,11,32.65,24.92,0.08
1981,3,12,32.58,23.71,0.41
1981,3,13,36.56,21.83,0.32
1981,3,14,36.98,21.55,0.01
1981,3,15,35.61,22.87,0.43
1981,3,16,31.65,23.88,0.33
1981,3,17,37.12,23.83,0.01
1981,3,18,38.65,25.05,0.22
1981,3,19,35.25,23.47,1.05
1981,3,20,35.41,22.74,2.01
1981,3,21,34.48,23.63,0.01
1981,3,22,38.05,21.64,0
1981,3,23,39.2,21.88,0
1981,3,24,34.54,23.75,0
1981,3,25,38.75,23.63,0
1981,3,26,38.88,24.48,0
1981,3,27,39.74,23.74,0.6
1981,3,28,36.78,23.82,0.75
1981,3,29,37.99,24.15,1.26
1981,3,30,37.98,24.77,3.2
1981,3,31,38.25,25.48,0.06
1981,4,1,38.93,25.62,0.17
