YEAR,MM,DD,PRECTOTCORR,NAMES
1981,1,3,0,bobo
1981,1,4,0,bobo
1981,1,5,0,bobo
1981,1,6,0,bobo
1981,1,7,0,bobo
1981,1,8,0,bobo
1981,1,9,0,bobo
1981,1,10,0,bobo
1981,1,11,0,bobo
1981,1,12,0,bobo
1981,1,13,0,bobo
1981,1,14,0,bobo
1981,1,15,0,bobo
1981,1,16,0,bobo
1981,1,17,0,bobo
1981,1,18,0,bobo
1981,1,19,0,bobo
1981,1,20,0,bobo
1981,1,21,0,bobo
1981,1,22,0,bobo
1981,1,23,0,bobo
1981,1,24,0,bobo
1981,1,25,0,bobo
1981,1,26,0,bobo
1981,1,27,0,bobo
1981,1,28,0,bobo
1981,1,29,0,bobo
1981,1,30,0,bobo
1981,1,31,0,bobo
1981,2,1,0,bobo
1981,2,2,0,bobo
1981,2,3,0,bobo
1981,2,4,0,bobo
1981,2,5,0,bobo
1981,2,6,0.02,bobo
1981,2,7,0,bobo
1981,2,8,0,bobo
1981,2,9,0,bobo
1981,2,10,0,bobo
1981,2,11,0,bobo
1981,2,12,0,bobo
1981,2,13,1.55,bobo
1981,2,14,0.14,bobo
1981,2,15,0.55,bobo
1981,2,16,0.64,bobo
1981,2,17,0.01,bobo
1981,2,18,0,bobo
1981,2,19,0,bobo
1981,2,20,0,bobo
1981,2,21,0,bobo
1981,2,22,0,bobo
1981,2,23,0,bobo
1981,2,24,0,bobo
1981,2,25,0,bobo
1981,2,26,0,bobo
1981,2,27,0,bobo
1981,2,28,0,bobo
1981,3,1,0,bobo
1981,3,2,0.18,bobo
1981,3,3,0.36,bobo
1981,3,4,0.25,bobo
1981,3,5,0.27,bobo
1981,3,6,0.39,bobo
1981,3,7,0.14,bobo
1981,3,8,0.01,bobo
1981,3,9,0.05,bobo
1981,3,10,0.01,bobo
1981,3,11,0.08,bobo
1981,3,12,0.41,bobo
1981,3,13,0.32,bobo
1981,3,14,0.01,bobo
1981,3,15,0.43,bobo
1981,3,16,0.33,bobo
1981,3,17,0.01,bobo
1981,3,18,0.22,bobo
1981,3,19,1.05,bobo
1981,3,20,2.01,bobo
