YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,1,3,29.73,11.55,bobo
1981,1,4,30.26,12.01,bobo
1981,1,5,30.83,13.02,bobo
1981,1,6,30.3,13.36,bobo
1981,1,7,30.71,12.96,bobo
1981,1,8,31.57,12.94,bobo
1981,1,9,31.37,12.51,bobo
1981,1,10,31.74,11.96,bobo
1981,1,11,32.27,13.12,bobo
1981,1,12,33.06,15.25,bobo
1981,1,13,33.64,18.27,bobo
1981,1,14,32.99,18.08,bobo
1981,1,15,32.86,16.49,bobo
1981,1,16,32.51,14.76,bobo
1981,1,17,32.15,13.97,bobo
1981,1,18,32.38,13.08,bobo
1981,1,19,33.08,14.15,bobo
1981,1,20,33.51,13.8,bobo
1981,1,21,34.03,13.99,bobo
1981,1,22,33.47,14.45,bobo
1981,1,23,32.9,12.87,bobo
1981,1,24,32.26,13.8,bobo
1981,1,25,30.36,13.21,bobo
1981,1,26,32.94,13.49,bobo
1981,1,27,32.98,14.8,bobo
1981,1,28,33.23,16.8,bobo
1981,1,29,33.26,15.42,bobo
1981,1,30,33.48,14.14,bobo
1981,1,31,34.32,14.47,bobo
1981,2,1,34.8,15.3,bobo
1981,2,2,34.67,16.01,bobo
1981,2,3,34.9,16.68,bobo
1981,2,4,34.18,17.05,bobo
1981,2,5,35.08,17.72,bobo
1981,2,6,36.62,19.85,bobo
1981,2,7,37.22,18.49,bobo
1981,2,8,36.58,18.51,bobo
1981,2,9,36.02,17.19,bobo
1981,2,10,35.2,17.17,bobo
1981,2,11,34.95,16.13,bobo
1981,2,12,35.39,16.6,bobo
1981,2,13,34.44,21.69,bobo
1981,2,14,34.62,21.16,bobo
1981,2,15,36.62,24.46,bobo
1981,2,16,38.18,25.2,bobo
1981,2,17,37.53,21.25,bobo
1981,2,18,36.67,19.93,bobo
1981,2,19,36.26,18.05,bobo
1981,2,20,37.09,17.98,bobo
1981,2,21,37.91,20.01,bobo
1981,2,22,37.26,18.05,bobo
1981,2,23,37.13,16.96,bobo
1981,2,24,37.23,16.32,bobo
1981,2,25,38.15,17.76,bobo
1981,2,26,38.46,18.86,bobo
1981,2,27,38.37,18.68,bobo
1981,2,28,37.8,19.3,bobo
1981,3,1,35.4,21.37,bobo
1981,3,2,39.36,21.08,bobo
1981,3,3,39.98,23.5,bobo
1981,3,4,39.05,26.29,bobo
1981,3,5,33.67,26.03,bobo
1981,3,6,35.75,24.55,bobo
1981,3,7,38.71,24.51,bobo
1981,3,8,37.37,24.65,bobo
1981,3,9,37.34,21.97,bobo
1981,3,10,38.59,22.75,bobo
1981,3,11,32.65,24.92,bobo
1981,3,12,32.58,23.71,bobo
1981,3,13,36.56,21.83,bobo
1981,3,14,36.98,21.55,bobo
1981,3,15,35.61,22.87,bobo
1981,3,16,31.65,23.88,bobo
1981,3,17,37.12,23.83,bobo
1981,3,18,38.65,25.05,bobo
1981,3,19,35.25,23.47,bobo
1981,3,20,35.41,22.74,bobo
1981,3,21,34.48,23.63,bobo
1981,3,22,38.05,21.64,bobo
1981,3,23,39.2,21.88,bobo
1981,3,24,34.54,23.75,bobo
1981,3,25,38.75,23.63,bobo
1981,3,26,38.88,24.48,bobo
1981,3,27,39.74,23.74,bobo
1981,3,28,36.78,23.82,bobo
1981,3,29,37.99,24.15,bobo
1981,3,30,37.98,24.77,bobo
1981,3,31,38.25,25.48,bobo
1981,4,1,38.93,25.62,bobo
1981,4,2,39.38,23.3,bobo
1981,4,3,36.93,25.47,bobo
1981,4,4,36.7,25.83,bobo
1981,4,5,38.98,25.86,bobo
1981,4,6,39.05,26.87,bobo
1981,4,7,39.94,26.44,bobo
1981,4,8,39.19,27.15,bobo
1981,4,9,41.27,27.69,bobo
1981,4,10,41.12,26.41,bobo
1981,4,11,39.87,26.87,bobo
1981,4,12,40.16,27.47,bobo
1981,4,13,37.85,26.9,bobo
1981,4,14,41.18,27.87,bobo
1981,4,15,40.87,28.9,bobo
1981,4,16,36.75,28.33,bobo
1981,4,17,39.98,26.53,bobo
1981,4,18,38.62,26.91,bobo
1981,4,19,39.97,25.1,bobo
1981,4,20,37.35,26.7,bobo
1981,4,21,36.74,26.74,bobo
1981,4,22,32.2,25.58,bobo
1981,4,23,35.96,24.58,bobo
1981,4,24,31.94,24.37,bobo
1981,4,25,37.95,23.44,bobo
1981,4,26,40.04,22.85,bobo
1981,4,27,34.34,24.79,bobo
1981,4,28,36.1,23.79,bobo
1981,4,29,34.42,24.51,bobo
1981,4,30,31.12,24.31,bobo
1981,5,1,32.86,23.89,bobo
1981,5,2,32.55,23.48,bobo
1981,5,3,31.13,23.51,bobo
1981,5,4,29.49,23.83,bobo
1981,5,5,32,22.65,bobo
1981,5,6,30.62,22.9,bobo
1981,5,7,33.11,23.55,bobo
1981,5,8,32.19,23.71,bobo
1981,5,9,33.02,22.43,bobo
1981,5,10,31.68,21.53,bobo
1981,5,11,30.37,23,bobo
1981,5,12,29.87,21.89,bobo
1981,5,13,34.46,21.95,bobo
1981,5,14,35.85,23.07,bobo
1981,5,15,36.45,23.07,bobo
1981,5,16,35.4,23.15,bobo
1981,5,17,34.23,23.74,bobo
1981,5,18,32.44,24.12,bobo
1981,5,19,32.88,24.19,bobo
1981,5,20,34.89,23.4,bobo
1981,5,21,35.59,24.21,bobo
1981,5,22,32.08,24.46,bobo
1981,5,23,33.28,23.09,bobo
1981,5,24,34.83,23.12,bobo
1981,5,25,35.68,22.38,bobo
1981,5,26,32.01,23.98,bobo
1981,5,27,31.11,23.59,bobo
1981,5,28,30.09,23.37,bobo
1981,5,29,33.98,23.21,bobo
1981,5,30,35.26,23.34,bobo
1981,5,31,32.39,23.54,bobo
1981,6,1,34.36,22.25,bobo
1981,6,2,36.42,22.69,bobo
1981,6,3,34.31,23.33,bobo
1981,6,4,35.27,22.99,bobo
1981,6,5,36.56,22.31,bobo
1981,6,6,35.25,23.62,bobo
1981,6,7,33.41,24.05,bobo
1981,6,8,35.3,23.42,bobo
1981,6,9,36.75,23.16,bobo
1981,6,10,36.82,23.19,bobo
1981,6,11,31.16,23.12,bobo
1981,6,12,31.66,23.62,bobo
1981,6,13,36.37,23.48,bobo
1981,6,14,36.52,22.98,bobo
1981,6,15,31.44,23.99,bobo
1981,6,16,31.91,23.21,bobo
1981,6,17,32.4,23.51,bobo
1981,6,18,31.53,23.01,bobo
1981,6,19,32.9,22.6,bobo
1981,6,20,31.28,22.43,bobo
1981,6,21,29.98,22.82,bobo
1981,6,22,30.25,22.53,bobo
1981,6,23,30.12,22.74,bobo
1981,6,24,31.44,21.22,bobo
1981,6,25,31.28,21.47,bobo
1981,6,26,32,22.27,bobo
1981,6,27,31.36,22.62,bobo
1981,6,28,30.14,22.3,bobo
1981,6,29,32.55,21.68,bobo
1981,6,30,32.19,21.85,bobo
1981,7,1,32.46,22.63,bobo
1981,7,2,30.8,22.43,bobo
1981,7,3,31.22,21.93,bobo
1981,7,4,31.39,22.32,bobo
1981,7,5,30.95,22.32,bobo
1981,7,6,30.55,22.31,bobo
1981,7,7,30.73,21.51,bobo
1981,7,8,30.09,22.18,bobo
1981,7,9,30.3,21.82,bobo
1981,7,10,29.44,20.78,bobo
1981,7,11,28.62,21.65,bobo
1981,7,12,28.76,21.29,bobo
1981,7,13,28.69,21.63,bobo
1981,7,14,29.67,21.4,bobo
1981,7,15,27.3,21.84,bobo
1981,7,16,29.92,20.9,bobo
1981,7,17,30.48,21.47,bobo
1981,7,18,27.33,22.28,bobo
1981,7,19,30.14,20.86,bobo
1981,7,20,30.55,22.44,bobo
1981,7,21,28.13,22.23,bobo
1981,7,22,29.5,21.22,bobo
1981,7,23,28.66,21.6,bobo
1981,7,24,26.27,21.58,bobo
1981,7,25,28.55,21.3,bobo
1981,7,26,28.11,21.31,bobo
1981,7,27,28.15,20.81,bobo
1981,7,28,29.12,20.95,bobo
1981,7,29,27.08,21.89,bobo
1981,7,30,28.37,20.85,bobo
1981,7,31,24.86,21.48,bobo
1981,8,1,27.62,21.27,bobo
1981,8,2,26.94,21.26,bobo
1981,8,3,28.68,21.11,bobo
1981,8,4,28.3,21.06,bobo
1981,8,5,28.13,21.71,bobo
1981,8,6,26.65,21.59,bobo
1981,8,7,29.12,20.76,bobo
1981,8,8,28.57,22.25,bobo
1981,8,9,30.96,21.28,bobo
1981,8,10,29.69,22.59,bobo
1981,8,11,28.87,22.45,bobo
1981,8,12,30.5,21.89,bobo
1981,8,13,27.29,21.99,bobo
1981,8,14,27.94,21.03,bobo
1981,8,15,26.4,21.62,bobo
1981,8,16,29.84,20.86,bobo
1981,8,17,30.34,21.14,bobo
1981,8,18,29.03,21.08,bobo
1981,8,19,28.04,21.66,bobo
1981,8,20,28.82,21.02,bobo
1981,8,21,24.78,20.17,bobo
1981,8,22,28.6,18.68,bobo
1981,8,23,28.46,20.93,bobo
1981,8,24,29.48,20.67,bobo
1981,8,25,27.37,21.62,bobo
1981,8,26,26.05,20.8,bobo
1981,8,27,27.46,20.28,bobo
1981,8,28,27.82,21.33,bobo
1981,8,29,26.46,20.97,bobo
1981,8,30,25.33,21.51,bobo
