YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,1,3,28.08,12.73,dori
1981,1,4,28.48,12.45,dori
1981,1,5,28.94,12.34,dori
1981,1,6,28.86,12.3,dori
1981,1,7,29.56,12.81,dori
1981,1,8,30.33,12.95,dori
1981,1,9,30.82,12.09,dori
1981,1,10,31.43,12.91,dori
1981,1,11,31.15,13.26,dori
1981,1,12,32.72,13.49,dori
1981,1,13,33.34,15.17,dori
1981,1,14,33.98,15.76,dori
1981,1,15,31.89,17.82,dori
1981,1,16,31.22,15.18,dori
1981,1,17,31.63,14.58,dori
1981,1,18,32.44,14.51,dori
1981,1,19,32.1,14.83,dori
1981,1,20,32.61,14.49,dori
1981,1,21,31.92,14.94,dori
1981,1,22,31.28,13.23,dori
1981,1,23,30.9,12.72,dori
1981,1,24,30.44,15.05,dori
1981,1,25,29.31,12.43,dori
1981,1,26,30.08,12.98,dori
1981,1,27,30.49,14.44,dori
1981,1,28,31.01,15.09,dori
1981,1,29,31.82,15.29,dori
1981,1,30,32.19,14.58,dori
1981,1,31,32.48,15.32,dori
1981,2,1,33.18,15.99,dori
1981,2,2,32.5,15.83,dori
1981,2,3,33.59,16.49,dori
1981,2,4,33.43,17.74,dori
1981,2,5,35.19,18.22,dori
1981,2,6,36.13,20.5,dori
1981,2,7,36.47,18.68,dori
1981,2,8,35.8,18.81,dori
1981,2,9,32.97,17.55,dori
1981,2,10,31.4,15.26,dori
1981,2,11,32.17,15.96,dori
1981,2,12,33.84,15.9,dori
1981,2,13,36.98,17.54,dori
1981,2,14,37.5,20.45,dori
1981,2,15,38.71,19.5,dori
1981,2,16,38.26,18.93,dori
1981,2,17,36.7,18.7,dori
1981,2,18,36.15,19.44,dori
1981,2,19,35.21,18.08,dori
1981,2,20,36.62,16.47,dori
1981,2,21,35.93,17.59,dori
1981,2,22,34.54,16.76,dori
1981,2,23,34.74,17.04,dori
1981,2,24,35.31,16.15,dori
1981,2,25,36.94,17.37,dori
1981,2,26,37.47,17.99,dori
1981,2,27,36.94,18.12,dori
1981,2,28,37.11,18.09,dori
1981,3,1,39.18,20.65,dori
1981,3,2,39.98,19.96,dori
1981,3,3,40.71,20.36,dori
1981,3,4,39.93,19.85,dori
1981,3,5,39.44,20.12,dori
1981,3,6,38.89,23.01,dori
1981,3,7,40.02,20.65,dori
1981,3,8,40.04,20.47,dori
1981,3,9,39.58,21.29,dori
1981,3,10,39.84,22.31,dori
1981,3,11,36.49,22.77,dori
1981,3,12,33.89,21.9,dori
1981,3,13,34.61,20.04,dori
1981,3,14,36.1,18.4,dori
1981,3,15,37.67,19.9,dori
1981,3,16,36.81,22.17,dori
1981,3,17,38.38,25.3,dori
1981,3,18,39.37,25.45,dori
1981,3,19,38.65,24.83,dori
1981,3,20,37.13,24.74,dori
1981,3,21,40.04,25.41,dori
1981,3,22,39.09,25.05,dori
1981,3,23,39.12,22.46,dori
1981,3,24,37.59,23.81,dori
1981,3,25,40.23,23.99,dori
1981,3,26,40.41,24.82,dori
1981,3,27,34.21,25.01,dori
1981,3,28,39.4,22.27,dori
1981,3,29,40.74,21.73,dori
1981,3,30,41.65,22.94,dori
1981,3,31,39.4,22.22,dori
1981,4,1,39.84,21.59,dori
1981,4,2,39.87,19.67,dori
1981,4,3,40.48,19.91,dori
1981,4,4,40.94,20.79,dori
1981,4,5,41.03,24.55,dori
1981,4,6,41.47,22.31,dori
1981,4,7,41.12,25.33,dori
1981,4,8,41.74,26.51,dori
1981,4,9,41.58,22.42,dori
1981,4,10,40.92,22.93,dori
1981,4,11,40.98,21.47,dori
1981,4,12,40.43,22.22,dori
1981,4,13,40.88,23.67,dori
1981,4,14,40.97,23.78,dori
1981,4,15,42.6,22.28,dori
1981,4,16,43.08,23.81,dori
1981,4,17,43.45,27.2,dori
1981,4,18,38.24,28.16,dori
1981,4,19,42.15,26.3,dori
1981,4,20,43.77,28.59,dori
1981,4,21,43.01,26.3,dori
1981,4,22,40.28,27.07,dori
1981,4,23,37.26,26.55,dori
1981,4,24,39.93,25.69,dori
1981,4,25,40.98,23.98,dori
1981,4,26,43.44,24.62,dori
1981,4,27,40.48,26.24,dori
1981,4,28,37.54,27.58,dori
1981,4,29,37.85,28.35,dori
1981,4,30,38.48,27.51,dori
1981,5,1,34.65,27.25,dori
1981,5,2,29.43,25.4,dori
1981,5,3,36.33,25.62,dori
1981,5,4,35.05,24.98,dori
1981,5,5,37.01,25.01,dori
1981,5,6,37.08,25.63,dori
1981,5,7,39.69,26.08,dori
1981,5,8,37.22,27.18,dori
1981,5,9,38.43,27.13,dori
1981,5,10,37.9,26.62,dori
1981,5,11,36.28,27.01,dori
1981,5,12,39.91,26.78,dori
1981,5,13,41.58,27.94,dori
1981,5,14,39.6,28.58,dori
1981,5,15,38.54,28.55,dori
1981,5,16,40.63,28.12,dori
1981,5,17,37.05,27.66,dori
1981,5,18,37.69,27.09,dori
1981,5,19,36.94,27.38,dori
1981,5,20,40.89,27.43,dori
1981,5,21,43.05,27.02,dori
1981,5,22,36.4,28.04,dori
1981,5,23,40.37,26.95,dori
1981,5,24,38.45,28.28,dori
1981,5,25,40.15,28.63,dori
1981,5,26,37.1,28.39,dori
1981,5,27,32.54,26.98,dori
1981,5,28,37.17,25.55,dori
1981,5,29,36.71,24.98,dori
1981,5,30,36.12,25.64,dori
1981,5,31,36.22,26.07,dori
1981,6,1,39.4,24.94,dori
1981,6,2,40.14,25.55,dori
1981,6,3,40.3,26.37,dori
1981,6,4,39.55,25.85,dori
1981,6,5,40.39,26.19,dori
1981,6,6,41.94,26.51,dori
1981,6,7,41.24,26.09,dori
1981,6,8,38.08,27.12,dori
1981,6,9,38.76,26.94,dori
1981,6,10,41.18,26.29,dori
1981,6,11,37.15,26.65,dori
1981,6,12,37.05,26.13,dori
1981,6,13,41.01,27.28,dori
1981,6,14,39.96,28.46,dori
1981,6,15,37.1,26.54,dori
1981,6,16,36.29,25.16,dori
1981,6,17,34.82,26.73,dori
1981,6,18,36.8,25.62,dori
1981,6,19,31.86,25.82,dori
1981,6,20,36.2,25.9,dori
1981,6,21,33.88,24.27,dori
1981,6,22,31.71,24.71,dori
1981,6,23,29.29,24.62,dori
1981,6,24,33.08,23.79,dori
1981,6,25,34.53,23.19,dori
1981,6,26,37.01,24.24,dori
1981,6,27,35.9,24.87,dori
