YEAR,MM,DD,T2M_MAX,T2M_MIN,NAMES
1981,1,3,28.55,11.05,ouagadougou
1981,1,4,28.83,11.84,ouagadougou
1981,1,5,29.25,12.48,ouagadougou
1981,1,6,29.09,11.35,ouagadougou
1981,1,7,29.6,12.23,ouagadougou
1981,1,8,30.29,11.5,ouagadougou
1981,1,9,30.24,10.86,ouagadougou
1981,1,10,31.08,11.19,ouagadougou
1981,1,11,31.04,11.38,ouagadougou
1981,1,12,31.99,12.8,ouagadougou
1981,1,13,32.15,13.6,ouagadougou
1981,1,14,32.91,15.25,ouagadougou
1981,1,15,31.62,15.58,ouagadougou
1981,1,16,30.83,13.48,ouagadougou
1981,1,17,31.21,12.71,ouagadougou
1981,1,18,32.02,13.15,ouagadougou
1981,1,19,32.38,13.68,ouagadougou
1981,1,20,32.56,13.3,ouagadougou
1981,1,21,32.06,14.01,ouagadougou
1981,1,22,31.81,12.91,ouagadougou
1981,1,23,31.01,11.76,ouagadougou
1981,1,24,30.46,13.03,ouagadougou
1981,1,25,29.47,12.15,ouagadougou
1981,1,26,31.68,13.13,ouagadougou
1981,1,27,31.57,14.49,ouagadougou
1981,1,28,31.12,15.19,ouagadougou
1981,1,29,31.94,13.76,ouagadougou
1981,1,30,32.45,13.35,ouagadougou
1981,1,31,33.08,14.01,ouagadougou
1981,2,1,33.82,14.7,ouagadougou
1981,2,2,33.3,14.75,ouagadougou
1981,2,3,33.83,15.72,ouagadougou
1981,2,4,33.41,17.22,ouagadougou
1981,2,5,34.58,16.65,ouagadougou
1981,2,6,36.16,18.01,ouagadougou
1981,2,7,36,17.35,ouagadougou
1981,2,8,35.82,16.05,ouagadougou
1981,2,9,34.16,17.36,ouagadougou
1981,2,10,33.12,15.33,ouagadougou
1981,2,11,33.29,14.96,ouagadougou
1981,2,12,34.15,15.44,ouagadougou
1981,2,13,36.31,19.01,ouagadougou
1981,2,14,36.61,23.33,ouagadougou
1981,2,15,37.66,20.26,ouagadougou
1981,2,16,37.54,18.27,ouagadougou
1981,2,17,36.36,19.58,ouagadougou
1981,2,18,36.17,18.94,ouagadougou
1981,2,19,35.44,17.06,ouagadougou
1981,2,20,36.56,16.18,ouagadougou
1981,2,21,36.6,16.9,ouagadougou
1981,2,22,35.69,16.19,ouagadougou
1981,2,23,35.65,15.46,ouagadougou
1981,2,24,36.08,16.09,ouagadougou
1981,2,25,37.52,16.46,ouagadougou
1981,2,26,37.69,17.02,ouagadougou
1981,2,27,37.63,18.7,ouagadougou
1981,2,28,36.66,18.3,ouagadougou
1981,3,1,37.54,19.27,ouagadougou
1981,3,2,39.28,19.42,ouagadougou
1981,3,3,39.57,18.59,ouagadougou
1981,3,4,39.37,22.88,ouagadougou
1981,3,5,37.72,25.49,ouagadougou
1981,3,6,31.44,25.03,ouagadougou
1981,3,7,37.96,23.62,ouagadougou
1981,3,8,38.87,19.55,ouagadougou
1981,3,9,36.39,19.62,ouagadougou
1981,3,10,38.51,22.47,ouagadougou
1981,3,11,34.3,23.88,ouagadougou
1981,3,12,33.18,20.76,ouagadougou
1981,3,13,36.07,19.89,ouagadougou
1981,3,14,36.02,17.58,ouagadougou
1981,3,15,37.55,20.73,ouagadougou
1981,3,16,36.22,24.17,ouagadougou
1981,3,17,38.08,23.87,ouagadougou
1981,3,18,39.23,22.81,ouagadougou
1981,3,19,38.12,23.33,ouagadougou
1981,3,20,37.22,23.71,ouagadougou
1981,3,21,39.35,23.24,ouagadougou
1981,3,22,39.32,23.94,ouagadougou
1981,3,23,39.7,22.98,ouagadougou
1981,3,24,38.65,23.2,ouagadougou
1981,3,25,39.98,22.88,ouagadougou
1981,3,26,40.23,22.32,ouagadougou
1981,3,27,34.84,25.44,ouagadougou
1981,3,28,38.56,22.18,ouagadougou
1981,3,29,39.66,22.68,ouagadougou
1981,3,30,39.51,25.94,ouagadougou
1981,3,31,38.22,22.62,ouagadougou
1981,4,1,38.66,20.98,ouagadougou
1981,4,2,38.87,21.82,ouagadougou
1981,4,3,38.82,23,ouagadougou
1981,4,4,39.61,22.33,ouagadougou
1981,4,5,39.75,24.9,ouagadougou
1981,4,6,40.19,24.53,ouagadougou
1981,4,7,40.25,25.44,ouagadougou
1981,4,8,41.27,27.31,ouagadougou
1981,4,9,41.33,23.98,ouagadougou
1981,4,10,41.18,22.87,ouagadougou
1981,4,11,40.44,21.84,ouagadougou
1981,4,12,40.49,21.8,ouagadougou
1981,4,13,39.33,25.97,ouagadougou
1981,4,14,41.06,25.56,ouagadougou
1981,4,15,41.33,20.55,ouagadougou
1981,4,16,41.09,26.44,ouagadougou
1981,4,17,41.37,28,ouagadougou
1981,4,18,38.51,25.77,ouagadougou
1981,4,19,40.42,25.37,ouagadougou
1981,4,20,40.16,26.9,ouagadougou
1981,4,21,40.85,26.43,ouagadougou
1981,4,22,32.08,26.55,ouagadougou
1981,4,23,34.51,24.65,ouagadougou
1981,4,24,36.15,24.43,ouagadougou
1981,4,25,38.97,22.1,ouagadougou
1981,4,26,40.55,22.96,ouagadougou
1981,4,27,37.09,25.33,ouagadougou
1981,4,28,36.37,25.98,ouagadougou
1981,4,29,34.43,25.96,ouagadougou
1981,4,30,33.62,25.15,ouagadougou
1981,5,1,30.48,23.59,ouagadougou
1981,5,2,30.58,23.94,ouagadougou
1981,5,3,32.84,24.26,ouagadougou
1981,5,4,29.58,23.69,ouagadougou
1981,5,5,33.95,23.27,ouagadougou
1981,5,6,33.8,23.94,ouagadougou
1981,5,7,37.03,23.79,ouagadougou
1981,5,8,34.15,25.57,ouagadougou
1981,5,9,33.46,24.82,ouagadougou
1981,5,10,34.07,24.62,ouagadougou
1981,5,11,33.22,24.12,ouagadougou
1981,5,12,37.05,23.92,ouagadougou
1981,5,13,37.8,24.58,ouagadougou
1981,5,14,35.69,25.71,ouagadougou
1981,5,15,37.13,25.12,ouagadougou
1981,5,16,37.12,25.58,ouagadougou
1981,5,17,32.89,25.23,ouagadougou
1981,5,18,34.15,25.4,ouagadougou
1981,5,19,34.53,25.51,ouagadougou
1981,5,20,38.3,24.85,ouagadougou
1981,5,21,39.8,25.49,ouagadougou
1981,5,22,33.48,26.01,ouagadougou
1981,5,23,36.17,24.48,ouagadougou
1981,5,24,35.63,25.19,ouagadougou
1981,5,25,38.01,24.29,ouagadougou
1981,5,26,33.56,25.14,ouagadougou
1981,5,27,33.3,25.09,ouagadougou
1981,5,28,35.32,24.67,ouagadougou
1981,5,29,34.19,24.13,ouagadougou
1981,5,30,36.04,24.2,ouagadougou
1981,5,31,33.5,23.76,ouagadougou
1981,6,1,36.7,23.26,ouagadougou
1981,6,2,37.39,23.43,ouagadougou
1981,6,3,35.94,24.24,ouagadougou
1981,6,4,36.55,23.37,ouagadougou
1981,6,5,36.47,24.26,ouagadougou
1981,6,6,37.01,24.51,ouagadougou
1981,6,7,35.62,24.33,ouagadougou
1981,6,8,36.07,24.36,ouagadougou
1981,6,9,34.65,24.23,ouagadougou
1981,6,10,37.85,23.85,ouagadougou
1981,6,11,32.82,24.08,ouagadougou
1981,6,12,35.9,23.55,ouagadougou
1981,6,13,38.26,23.19,ouagadougou
1981,6,14,36.76,24.44,ouagadougou
1981,6,15,34.33,24.73,ouagadougou
1981,6,16,33.73,23.37,ouagadougou
1981,6,17,33.23,24.3,ouagadougou
1981,6,18,33.95,23.86,ouagadougou
1981,6,19,33.42,23.83,ouagadougou
1981,6,20,32.98,23.96,ouagadougou
1981,6,21,31.65,23.04,ouagadougou
1981,6,22,33.37,22.9,ouagadougou
1981,6,23,30.05,22.8,ouagadougou
1981,6,24,33.26,22.33,ouagadougou
1981,6,25,32.87,22.05,ouagadougou
1981,6,26,33.99,22.93,ouagadougou
1981,6,27,33.7,22.56,ouagadougou
1981,6,28,34.28,22.8,ouagadougou
1981,6,29,34.19,22.49,ouagadougou
1981,6,30,33.62,23.04,ouagadougou
1981,7,1,33.97,22.85,ouagadougou
1981,7,2,32.14,22.8,ouagadougou
1981,7,3,33.88,22.24,ouagadougou
1981,7,4,34.06,23.12,ouagadougou
1981,7,5,33.22,23.02,ouagadougou
1981,7,6,32.79,22.64,ouagadougou
1981,7,7,32.47,22.31,ouagadougou
1981,7,8,32.07,22.9,ouagadougou
1981,7,9,33.15,21.26,ouagadougou
1981,7,10,30.41,22.23,ouagadougou
1981,7,11,28.05,21.62,ouagadougou
1981,7,12,31.47,21.05,ouagadougou
1981,7,13,34.05,21.42,ouagadougou
1981,7,14,30.73,22.62,ouagadougou
1981,7,15,31.93,22.41,ouagadougou
1981,7,16,31.94,22.25,ouagadougou
1981,7,17,31.99,22.08,ouagadougou
1981,7,18,31.69,22.58,ouagadougou
1981,7,19,30.29,22.26,ouagadougou
1981,7,20,32.09,22.5,ouagadougou
1981,7,21,31.6,22.57,ouagadougou
1981,7,22,29.03,22.11,ouagadougou
1981,7,23,30.66,22.15,ouagadougou
1981,7,24,27.85,22.3,ouagadougou
1981,7,25,32.11,20.84,ouagadougou
1981,7,26,31.65,21.25,ouagadougou
1981,7,27,31.44,22.34,ouagadougou
1981,7,28,29.53,22.36,ouagadougou
1981,7,29,29.5,22.06,ouagadougou
1981,7,30,30.93,22.04,ouagadougou
1981,7,31,29.87,22.11,ouagadougou
1981,8,1,32.26,21.65,ouagadougou
1981,8,2,30.34,22.65,ouagadougou
1981,8,3,32.62,21.45,ouagadougou
1981,8,4,31.73,21.64,ouagadougou
1981,8,5,30.49,22.38,ouagadougou
1981,8,6,30.66,20.94,ouagadougou
1981,8,7,31.51,21.3,ouagadougou
1981,8,8,32.61,21.65,ouagadougou
1981,8,9,33.48,22.48,ouagadougou
1981,8,10,31.01,23.22,ouagadougou
1981,8,11,31.16,22.94,ouagadougou
1981,8,12,32.55,21.55,ouagadougou
1981,8,13,29.74,22.71,ouagadougou
1981,8,14,29.7,21.73,ouagadougou
1981,8,15,31.98,21.58,ouagadougou
1981,8,16,29.44,22.14,ouagadougou
1981,8,17,32.62,21.49,ouagadougou
1981,8,18,31.18,22.21,ouagadougou
1981,8,19,31.03,22.33,ouagadougou
1981,8,20,30.46,22.23,ouagadougou
1981,8,21,26.4,21.19,ouagadougou
1981,8,22,30.9,20.36,ouagadougou
1981,8,23,33.44,20.85,ouagadougou
1981,8,24,28.82,22.36,ouagadougou
1981,8,25,26.95,21.6,ouagadougou
1981,8,26,30.14,20.46,ouagadougou
1981,8,27,29.68,21.68,ouagadougou
1981,8,28,28.88,21.78,ouagadougou
1981,8,29,26.88,22.12,ouagadougou
1981,8,30,28.65,21.1,ouagadougou
1981,8,31,31.5,21.24,ouagadougou
1981,9,1,31.68,21.1,ouagadougou
1981,9,2,30.72,21.18,ouagadougou
1981,9,3,31.13,21.9,ouagadougou
1981,9,4,29.68,21.76,ouagadougou
1981,9,5,28.81,21.76,ouagadougou
1981,9,6,30.98,21.78,ouagadougou
1981,9,7,30.02,21.41,ouagadougou
1981,9,8,29.67,22.06,ouagadougou
1981,9,9,31.61,21.26,ouagadougou
1981,9,10,29.46,20.5,ouagadougou
1981,9,11,31.3,21.98,ouagadougou
1981,9,12,32.62,21.08,ouagadougou
1981,9,13,31.08,22.07,ouagadougou
1981,9,14,31.05,20.56,ouagadougou
1981,9,15,31.61,22.23,ouagadougou
1981,9,16,30.19,22.26,ouagadougou
1981,9,17,32.37,21.14,ouagadougou
1981,9,18,NA,NA,ouagadougou
1981,9,19,30.93,22.28,ouagadougou
1981,9,20,28.01,22.32,ouagadougou
1981,9,21,31.22,21.4,ouagadougou
1981,9,22,32.79,21.67,ouagadougou
1981,9,23,32.96,21.95,ouagadougou
1981,9,24,30.29,22.76,ouagadougou
1981,9,25,29.65,22.46,ouagadougou
1981,9,26,31.88,21.01,ouagadougou
1981,9,27,32.81,21.68,ouagadougou
1981,9,28,31.23,22.02,ouagadougou
1981,9,29,32.47,21.98,ouagadougou
1981,9,30,33.11,21.43,ouagadougou
1981,10,1,32.87,21.94,ouagadougou
1981,10,2,33.24,22.2,ouagadougou
1981,10,3,30.58,22.2,ouagadougou
1981,10,4,33.63,20.15,ouagadougou
1981,10,5,34.15,22.19,ouagadougou
1981,10,6,34.6,21.86,ouagadougou
1981,10,7,32.83,22.39,ouagadougou
1981,10,8,34.36,19.83,ouagadougou
1981,10,9,31.78,22.07,ouagadougou
1981,10,10,31.09,22.26,ouagadougou
1981,10,11,34.12,20.67,ouagadougou
1981,10,12,32.57,23.3,ouagadougou
1981,10,13,31.94,22.75,ouagadougou
1981,10,14,33.79,21.79,ouagadougou
1981,10,15,34.42,21.89,ouagadougou
1981,10,16,35.18,21.8,ouagadougou
1981,10,17,34.59,21.5,ouagadougou
1981,10,18,34.76,21.56,ouagadougou
1981,10,19,35.5,21.72,ouagadougou
1981,10,20,34.87,21.39,ouagadougou
1981,10,21,34.37,22.25,ouagadougou
1981,10,22,34.13,21.78,ouagadougou
1981,10,23,34.18,21.19,ouagadougou
1981,10,24,35.32,21.38,ouagadougou
1981,10,25,34.55,22.04,ouagadougou
1981,10,26,34.59,23.25,ouagadougou
1981,10,27,34.15,21.86,ouagadougou
1981,10,28,35.3,22.46,ouagadougou
1981,10,29,35.55,21.9,ouagadougou
1981,10,30,33.73,20.84,ouagadougou
1981,10,31,33.12,22.07,ouagadougou
1981,11,1,34.83,21.83,ouagadougou
1981,11,2,34.73,21.37,ouagadougou
1981,11,3,35.43,21.44,ouagadougou
1981,11,4,33.94,18.94,ouagadougou
1981,11,5,28.84,19.25,ouagadougou
1981,11,6,32.62,16.81,ouagadougou
1981,11,7,33.47,17.11,ouagadougou
1981,11,8,33.25,16.74,ouagadougou
1981,11,9,31.25,16.27,ouagadougou
1981,11,10,33.87,15.51,ouagadougou
1981,11,11,34.23,16.07,ouagadougou
1981,11,12,33.8,17.94,ouagadougou
1981,11,13,33.22,15.51,ouagadougou
1981,11,14,32.3,14.5,ouagadougou
1981,11,15,33.12,16.23,ouagadougou
1981,11,16,33.23,16.23,ouagadougou
1981,11,17,33.6,15.26,ouagadougou
1981,11,18,33.08,14.51,ouagadougou
1981,11,19,33.37,15.49,ouagadougou
1981,11,20,32.96,16.01,ouagadougou
1981,11,21,31.79,16.4,ouagadougou
1981,11,22,30.71,14.11,ouagadougou
1981,11,23,29.69,12.62,ouagadougou
1981,11,24,29.85,13.21,ouagadougou
1981,11,25,30.48,13.88,ouagadougou
1981,11,26,31.43,13.51,ouagadougou
1981,11,27,32.38,15.72,ouagadougou
1981,11,28,29.15,16.44,ouagadougou
1981,11,29,25.9,15.69,ouagadougou
1981,11,30,30.63,14.51,ouagadougou
1981,12,1,32.82,13.55,ouagadougou
1981,12,2,32.33,14.2,ouagadougou
1981,12,3,31.99,14.4,ouagadougou
1981,12,4,32.23,14.5,ouagadougou
1981,12,5,32.11,12.58,ouagadougou
1981,12,6,31.02,12.27,ouagadougou
1981,12,7,31.98,12.3,ouagadougou
1981,12,8,30.69,13.92,ouagadougou
1981,12,9,33.16,14.62,ouagadougou
1981,12,10,33.76,16.33,ouagadougou
1981,12,11,34.12,16.33,ouagadougou
1981,12,12,33.43,14.38,ouagadougou
1981,12,13,32.44,14.17,ouagadougou
1981,12,14,31.12,13.37,ouagadougou
1981,12,15,32.74,13.87,ouagadougou
1981,12,16,32.99,14.37,ouagadougou
1981,12,17,32.98,14.09,ouagadougou
1981,12,18,32.19,14.02,ouagadougou
